timestamp,agent.name,rule.description,rule.level,rule.id
"May 7, 2025 @ 22:13:58.836","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 22:10:10.055","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 22:10:01.967","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 22:10:01.930","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 22:09:20.115","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 22:09:20.074","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 22:08:32.194","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 22:06:45.780","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 22:06:17.839","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 22:06:17.839","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 22:06:17.826","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 22:04:46.310","WIN-3KH74N2U82B","Windows System error event","5","61102"
"May 7, 2025 @ 21:54:10.057","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:54:01.973","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:54:01.932","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:43:59.321","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:38:10.070","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:38:01.990","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:38:01.949","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:22:10.067","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:22:01.984","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:22:01.943","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:13:58.800","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:09:12.673","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 21:09:12.630","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 21:06:45.769","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 21:06:10.065","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:06:01.983","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:06:01.940","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 21:04:46.769","WIN-3KH74N2U82B","Windows System error event","5","61102"
"May 7, 2025 @ 20:50:10.063","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:50:01.979","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:50:01.938","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:49:38.048","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:46:42.607","WIN-3KH74N2U82B","Windows User Logoff","3","60137"
"May 7, 2025 @ 20:46:42.576","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:46:41.998","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:46:41.970","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:46:41.928","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:46:39.076","WIN-3KH74N2U82B","Windows User Logoff","3","60137"
"May 7, 2025 @ 20:46:38.999","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:43:58.781","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:34:10.060","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:34:01.963","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:34:01.922","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:18:10.043","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:18:01.975","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:18:01.936","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:13:58.777","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:09:04.962","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:09:04.899","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:06:45.776","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 20:04:46.651","WIN-3KH74N2U82B","Windows System error event","5","61102"
"May 7, 2025 @ 20:02:10.042","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:02:01.985","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 20:02:01.936","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 19:46:10.054","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 19:46:01.971","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 19:46:01.930","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 19:43:58.070","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 19:39:13.291","WIN-3KH74N2U82B","Software protection service scheduled successfully.","3","60642"
"May 7, 2025 @ 19:38:44.255","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 19:38:44.240","WIN-3KH74N2U82B","A scheduled task was created","4","60228"
"May 7, 2025 @ 19:38:43.196","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 19:30:10.037","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 19:30:01.969","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 19:30:01.927","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 19:19:41.388","WIN-3KH74N2U82B","Software protection service scheduled successfully.","3","60642"
"May 7, 2025 @ 19:19:15.786","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 19:19:11.783","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
