timestamp,agent.name,syscheck.path,syscheck.event,rule.description,rule.level,rule.id
"May 7, 2025 @ 17:06:30.853","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2339272666-3457689461-1411455609-1104","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 17:06:27.975","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WdFilter\Security","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 17:06:27.437","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 17:06:27.421","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 17:06:27.405","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 17:06:27.392","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 17:06:27.392","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 17:06:27.392","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 17:06:27.373","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\Config","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 17:06:27.351","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\Config","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 17:06:24.139","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 17:06:24.109","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Epoch","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 17:06:14.836","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BITS","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 17:06:14.676","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2339272666-3457689461-1411455609-1104","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 17:06:14.655","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2339272666-3457689461-1411455609-1104","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 17:06:14.636","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2339272666-3457689461-1411455609-1104","modified","Registry Key Integrity Checksum Changed","5","594"
